iter	Passed	Remaining
0	1	150
1	2	134
2	3	125
3	4	114
4	6	115
5	7	113
6	8	112
7	9	112
8	10	110
9	12	108
10	13	107
11	14	105
12	15	106
13	17	107
14	18	107
15	20	107
16	21	105
17	22	103
18	23	101
19	24	99
20	26	98
21	27	96
22	28	94
23	29	93
24	30	91
25	31	90
26	32	88
27	33	87
28	35	85
29	36	84
30	37	83
31	38	81
32	39	80
33	40	78
34	41	77
35	42	76
36	43	74
37	44	73
38	46	72
39	47	70
40	48	69
41	48	67
42	49	66
43	51	65
44	52	63
45	53	62
46	54	61
47	55	60
48	56	59
49	57	57
50	59	56
51	60	55
52	61	54
53	62	53
54	63	51
55	64	50
56	65	49
57	66	48
58	67	47
59	68	45
60	70	44
61	71	43
62	72	42
63	73	41
64	74	40
65	75	38
66	77	37
67	78	36
68	79	35
69	80	34
70	81	33
71	82	32
72	83	31
73	84	29
74	86	28
75	87	27
76	88	26
77	89	25
78	90	24
79	91	22
80	92	21
81	93	20
82	95	19
83	96	18
84	97	17
85	98	16
86	99	14
87	100	13
88	101	12
89	102	11
90	103	10
91	105	9
92	106	7
93	107	6
94	108	5
95	109	4
96	110	3
97	111	2
98	112	1
99	113	0
