iter	Passed	Remaining
0	158	158378
1	159	79505
2	159	53172
3	160	39993
4	161	32095
5	161	26819
6	162	23052
7	163	20240
8	163	18058
9	165	16357
10	165	14920
11	166	13714
12	167	12698
13	167	11821
14	168	11092
15	169	10430
16	170	9846
17	170	9325
18	171	8856
19	172	8432
20	172	8054
21	173	7710
22	174	7394
23	174	7111
24	175	6844
25	176	6599
26	176	6369
27	177	6155
28	177	5956
29	178	5770
30	179	5601
31	179	5438
32	180	5288
33	181	5148
34	181	5011
35	182	4886
36	183	4765
37	183	4650
38	184	4541
39	184	4438
40	185	4339
41	186	4245
42	186	4157
43	187	4072
44	188	3991
45	188	3915
46	189	3841
47	190	3769
48	190	3700
49	191	3634
50	191	3570
51	192	3510
52	193	3454
53	193	3397
54	194	3343
55	195	3290
56	195	3240
57	196	3191
58	197	3142
59	197	3096
60	198	3052
61	199	3011
62	199	2971
63	200	2930
64	200	2890
65	201	2852
66	202	2814
67	202	2777
68	203	2742
69	203	2709
70	204	2676
71	205	2645
72	205	2614
73	206	2583
74	207	2554
75	207	2524
76	208	2495
77	208	2468
78	209	2441
79	210	2415
80	210	2390
81	211	2365
82	211	2338
83	212	2314
84	212	2291
85	213	2267
86	213	2245
87	214	2223
88	215	2202
89	215	2181
90	216	2161
91	216	2141
92	217	2123
93	218	2103
94	218	2084
95	219	2066
96	219	2047
97	220	2029
98	221	2012
99	221	1994
100	222	1977
101	222	1961
102	223	1945
103	224	1930
104	224	1915
105	225	1900
106	225	1885
107	226	1870
108	227	1855
109	227	1841
110	228	1827
111	228	1813
112	229	1801
113	230	1789
114	230	1776
115	231	1763
116	231	1750
117	232	1737
118	233	1725
119	233	1713
120	234	1701
121	234	1689
122	235	1677
123	235	1666
124	236	1655
125	237	1645
126	237	1633
127	238	1623
128	239	1616
129	240	1607
130	240	1596
131	241	1587
132	242	1578
133	242	1569
134	243	1559
135	244	1550
136	244	1541
137	245	1531
138	245	1522
139	246	1513
140	247	1504
141	247	1494
142	248	1486
143	248	1479
144	249	1470
145	250	1462
146	250	1454
147	251	1446
148	251	1438
149	252	1430
150	253	1422
151	253	1415
152	254	1407
153	254	1400
154	255	1393
155	256	1386
156	256	1378
157	257	1371
158	257	1363
159	258	1356
160	258	1348
161	259	1341
162	260	1335
163	260	1329
164	261	1322
165	262	1316
166	262	1309
167	263	1303
168	263	1297
169	264	1291
170	265	1284
171	265	1278
172	266	1273
173	267	1268
174	267	1262
175	268	1256
176	269	1250
177	269	1245
178	270	1239
179	270	1233
180	271	1227
181	271	1222
182	272	1217
183	273	1211
184	273	1206
185	274	1201
186	275	1195
187	275	1190
188	276	1185
189	276	1179
190	277	1174
191	277	1169
192	278	1164
193	279	1159
194	279	1155
195	280	1150
196	281	1145
197	281	1140
198	282	1136
199	282	1131
200	283	1126
201	284	1122
202	284	1118
203	285	1114
204	286	1109
205	286	1105
206	287	1100
207	287	1096
208	288	1091
209	289	1087
210	289	1083
211	290	1078
212	290	1074
213	291	1070
214	292	1067
215	292	1062
216	293	1059
217	294	1055
218	294	1051
219	295	1047
220	296	1043
221	296	1040
222	297	1036
223	297	1032
224	298	1028
225	299	1024
226	299	1020
227	300	1016
228	300	1013
229	301	1009
230	301	1005
231	302	1001
232	303	998
233	303	995
234	304	991
